Category,Menu Name,Price,Image Path
Artisan Tea,EARL GREY,28000,menu/Foto Menu/Artisan Tea.png
Artisan Tea,CAMOMILE,28000,menu/Foto Menu/Artisan Tea.png
Artisan Tea,LEMON GINGER,28000,menu/Foto Menu/Artisan Tea.png
Artisan Tea,ORANGE CINAMON,28000,menu/Foto Menu/Artisan Tea.png
BUNSTOPPABLE,Cheese Burger,34000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Smack Burger,41000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Spicy Chicken Burger,30000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Philly Cheesesteak,36000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Cheesy Crisp,26000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Barbaque Sauce,25000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Cabe Garam,24000,menu/Foto Menu/BUNSTOPPABLE.png
BUNSTOPPABLE,Garlic Sauce,24000,menu/Foto Menu/BUNSTOPPABLE.png
Cocoa Carnival,NA ... NA ... NA ... NA ... NA ...,28000,menu/Foto Menu/Cocoa Carnival.png
Cocoa Carnival,BROWNIE CARAMELA,28000,menu/Foto Menu/Cocoa Carnival.png
Cocoa Carnival,TUTY NUTTY,26000,menu/Foto Menu/Cocoa Carnival.png
Cocoa Carnival,BERRY TREMBLE,26000,menu/Foto Menu/Cocoa Carnival.png
Don't Miss It,MATCHA (Hot),22000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,MATCHA (Ice),23000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,RED VELVET (Hot),20000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,RED VELVET (Ice),21000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,TARO (Hot),20000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,TARO (Ice),21000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Squash LYCHEE,15000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Squash MELON,15000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Squash STRAWBERRY,15000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Squash LEMON,15000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Tea LYCHEE,13000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Tea MELON,13000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Tea STRAWBERRY,13000,menu/Foto Menu/Don`t Miss It.png
Don't Miss It,Tea LEMON,13000,menu/Foto Menu/Don`t Miss It.png
FEEL BETTER N SIP BETTER,DOPPIO,18000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,AMERICANO,18000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,PICCOLO,24000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,CAFFÉ LATTE,20000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,CAPPUCCINO,24000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,MOCCA LATTE,25000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,SPLIT SHOT,25000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,"ADD ON (HAZELNUT, VANILLA, CARAMEL)",5000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,FILTER COFFEE TIER 1 (HOT),25000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,FILTER COFFEE TIER 1 (ICE),26000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,FILTER COFFEE TIER 2 (HOT),35000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,FILTER COFFEE TIER 2 (ICE),36000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,VIETNAM DRIP (HOT),19000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
FEEL BETTER N SIP BETTER,VIETNAM DRIP (ICE),20000,menu/Foto Menu/FEEL BETTER N SIP BETTER.png
Friying Gang,Atap Big Platter,38000,menu/Foto Menu/Friying Gang.png
Friying Gang,Platter,28000,menu/Foto Menu/Friying Gang.png
Friying Gang,Corn Ribb OG,15000,menu/Foto Menu/Friying Gang.png
Friying Gang,Corn Ribb Mentai,18000,menu/Foto Menu/Friying Gang.png
Friying Gang,Brokoli,16000,menu/Foto Menu/Friying Gang.png
Friying Gang,Onion Ring,20000,menu/Foto Menu/Friying Gang.png
Friying Gang,French Fries,17000,menu/Foto Menu/Friying Gang.png
Hug in Mug and FOMO,BANOGATO,30000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ATAPFOGATO,28000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,BISCOTTI,26000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ASIAN DOLCE,23000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,CARAMEL MACHIATO,23000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ES KOPI LEH,20000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ES KOPI PISANG,19000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ES KOPI PANDAN,19000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ES KOPI CRÈME BRULEE,19000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ES KOPI BUTTERSCOTCH,19000,menu/Foto Menu/Hug in Mug and FOMO.png
Hug in Mug and FOMO,ES KOPI SUKLAT,18000,menu/Foto Menu/Hug in Mug and FOMO.png
